Time (sec), Avg. Response Time (us), Standard deviation (us)
327,11355.333333333334,7421.433333333333
328,11457.333333333334,7059.2266666666665
329,11237.0,7593.706666666666
330,10888.0,6123.57
331,11792.0,9264.68
332,11367.0,8582.236666666666
333,10934.0,7376.52
334,10877.333333333334,6317.836666666667
335,10985.0,6287.816666666667
336,11578.0,7722.673333333332
337,11388.333333333334,6403.916666666667
338,11720.0,9055.203333333333
339,10978.333333333334,6935.829999999999
340,11730.333333333334,10014.63
341,12105.0,10340.643333333333
342,12044.0,9525.263333333332
343,12344.666666666666,10828.64
344,11987.0,8962.949999999999
345,11773.333333333334,8766.89
346,12080.0,8977.093333333332
347,12262.333333333334,10421.686666666666
348,14878.0,22918.89333333333
349,13847.333333333334,19494.29
350,12483.0,11702.693333333335
351,12466.333333333334,10870.096666666666
352,11821.0,9100.786666666665
353,11057.0,6757.223333333332
354,11906.333333333334,8037.463333333333
355,11163.0,6598.146666666667
356,11624.333333333334,7700.13
357,11284.666666666666,7341.956666666666
358,11049.333333333334,6582.38
359,13940.0,20996.783333333336
360,12542.666666666666,13766.423333333334
361,11295.333333333334,7719.883333333334
362,11296.666666666666,8480.660000000002
363,14811.666666666666,27859.293333333335
364,12829.666666666666,17192.156666666666
365,11280.333333333334,8293.39
366,12364.666666666666,11547.49
367,15368.666666666666,33757.706666666665
368,12719.666666666666,19769.319999999996
369,10767.0,7178.07
370,10982.0,7070.126666666667
371,11564.666666666666,8290.066666666666
372,13145.666666666666,19802.069999999996
373,12061.333333333334,12267.713333333333
374,11656.666666666666,11051.383333333333
375,11521.666666666666,11515.779999999999
376,11269.0,8677.203333333333
377,13216.333333333334,14421.37
378,13465.666666666666,14339.74
379,16345.333333333334,28739.346666666665
380,13674.0,27442.813333333335
381,11999.0,13912.206666666667
382,11571.333333333334,7472.933333333333
383,12572.333333333334,20483.013333333332
384,12176.0,14514.373333333331
385,11043.666666666666,6948.19
386,11599.0,9740.376666666667
387,12167.0,13708.946666666665
388,11842.0,9617.19
389,11052.333333333334,7352.433333333334
390,11168.0,7242.160000000001
391,12235.0,10437.476666666667
392,12898.0,12902.230000000001
393,11759.0,9056.463333333333
394,12816.0,11677.386666666665
395,11634.333333333334,8494.050000000001
396,11790.0,9406.783333333333
397,12112.0,15057.996666666668
398,13048.333333333334,17968.280000000002
399,13108.333333333334,15025.86
400,12716.333333333334,13708.033333333333
401,13028.0,12531.789999999999
402,11829.333333333334,7958.286666666667
403,12491.0,10974.106666666667
404,12588.666666666666,12561.096666666665
405,13268.0,15106.74
406,12336.0,10257.406666666668
407,11056.0,5129.656666666667
408,11320.0,5130.143333333333
409,11225.0,6661.576666666667
410,11840.666666666666,11462.793333333333
