Time (sec), Avg. Response Time (us), Standard deviation (us)
759,10585.0,5286.0
760,12453.0,7731.02
761,12121.0,11238.77
762,10155.0,5601.72
763,9449.0,5638.39
764,11209.0,5907.17
765,11020.0,5674.13
766,11415.0,7238.94
767,16458.0,32945.59
768,13631.0,19181.41
769,9548.0,5383.0
770,12726.0,15133.15
771,12265.0,13358.13
772,9820.0,9390.27
773,10376.0,4539.08
774,13095.0,12023.2
775,10641.0,8153.3
776,11596.0,9184.26
777,10824.0,6451.57
778,11326.0,9900.05
779,10812.0,7983.69
780,11506.0,13341.9
781,10870.0,6497.95
782,10989.0,8875.19
783,16929.0,32712.94
784,12062.0,13408.98
785,17870.0,44172.83
786,10742.0,10416.61
787,11993.0,9190.38
788,13189.0,16545.68
789,11292.0,5549.17
790,10700.0,5266.65
791,11665.0,12566.82
792,10303.0,9353.13
793,10889.0,10279.87
794,11652.0,6019.11
795,11529.0,10869.22
796,11275.0,13290.81
797,11791.0,11296.71
798,11292.0,6417.68
799,11902.0,11224.87
800,15378.0,25944.58
801,23657.0,63833.06
802,10407.0,5366.98
803,10515.0,7490.3
804,12411.0,23681.31
805,13329.0,13201.32
806,13770.0,15110.5
807,10674.0,6149.32
808,11647.0,9494.3
809,10180.0,5401.16
810,11551.0,7478.37
811,11119.0,5949.48
812,15009.0,29874.04
813,13489.0,17025.77
814,11712.0,13866.53
815,12067.0,9406.04
816,11843.0,11734.22
817,10199.0,5045.16
818,15568.0,21763.59
819,13607.0,17347.7
820,12880.0,13979.11
821,15553.0,20993.72
822,13274.0,16054.99
823,12144.0,11405.49
824,11660.0,7765.68
825,11342.0,5666.46
826,14323.0,18336.65
827,11234.0,11898.85
828,11246.0,17405.6
829,11087.0,7312.98
830,12296.0,11086.13
831,11909.0,9243.72
832,11409.0,7701.78
833,11834.0,7865.35
834,11111.0,5801.47
835,13669.0,13459.16
836,11311.0,6694.02
837,10837.0,5767.43
838,12277.0,8723.29
839,11506.0,7329.13
840,11946.0,8782.87
841,10939.0,6252.03
842,11276.0,5562.4
843,14024.0,17105.46
844,10273.0,5079.18
845,13641.0,15062.47
846,13103.0,12789.74
847,14561.0,30636.6
848,10592.0,5430.06
849,11263.0,5836.8
850,10076.0,4946.09
851,12880.0,11852.11
852,10639.0,4820.67
853,15543.0,23740.71
854,10596.0,4904.24
855,10970.0,5247.14
856,11137.0,6886.01
857,13286.0,21024.09
858,10849.0,4970.16
859,11845.0,12240.92
860,11362.0,6539.44
861,12696.0,15152.36
862,16389.0,24345.91
863,12829.0,15967.94
864,10559.0,5093.62
865,12926.0,14033.4
866,10341.0,8364.32
867,11192.0,6988.1
868,10962.0,7185.86
869,11644.0,6885.23
870,10924.0,7856.29
871,11665.0,13656.94
872,11094.0,5561.96
873,11523.0,9438.18
874,10955.0,5338.81
875,11339.0,7405.99
876,10589.0,5847.09
877,14132.0,21056.16
878,10969.0,5418.84
879,11143.0,7381.93
880,9330.0,5595.79
881,11185.0,7879.12
882,12312.0,9802.88
883,11970.0,10037.31
884,13563.0,20358.01
885,12815.0,19979.99
886,9535.0,6767.74
887,10991.0,6794.91
888,11850.0,9766.27
889,11854.0,12113.79
890,14004.0,19974.33
891,11667.0,13219.39
892,10868.0,6580.86
893,9889.0,5176.95
894,11234.0,11543.17
895,11677.0,14448.59
896,11345.0,8007.94
897,10251.0,8286.41
898,12689.0,14624.19
899,15164.0,34179.47
900,11546.0,9564.82
901,11406.0,10715.76
902,11029.0,5629.25
903,11797.0,10793.29
904,10573.0,5471.01
905,11109.0,6040.01
906,11512.0,7731.23
907,15283.0,27361.74
908,11611.0,8412.23
909,10594.0,4719.72
910,11057.0,6092.33
911,16754.0,32443.46
912,11165.0,7387.73
913,15660.0,20892.48
914,9718.0,6513.58
915,13205.0,15355.48
916,12908.0,22382.47
917,11366.0,6516.11
918,13455.0,13071.16
919,13437.0,22612.53
920,11059.0,5898.26
921,11381.0,7427.87
922,9553.0,5427.2
923,10880.0,5839.4
924,11273.0,6212.44
925,10976.0,6378.23
926,12231.0,22914.41
927,10925.0,12100.3
928,11110.0,5432.98
929,12669.0,13643.02
930,14627.0,31225.07
931,11529.0,6367.03
932,10590.0,15468.69
933,12848.0,13898.02
934,13488.0,24120.97
935,14112.0,26967.66
936,10622.0,5200.27
937,16371.0,23276.25
938,11531.0,9936.69
939,11090.0,9143.72
940,11821.0,11173.75
941,8668.0,5568.75
942,9260.0,5379.95
943,10688.0,9099.08
944,9720.0,9200.3
945,11074.0,6932.56
946,10825.0,6935.24
947,11940.0,11393.27
948,11205.0,6091.44
949,10260.0,7277.07
950,15636.0,28240.47
951,10181.0,7432.25
952,10785.0,6385.98
953,10444.0,5433.27
954,13973.0,16082.37
955,11944.0,8169.95
956,9224.0,5255.54
957,11508.0,19251.51
958,11318.0,6252.37
959,11832.0,6857.8
960,12597.0,12630.12
961,27973.0,80134.02
962,10584.0,12220.39
963,11663.0,8446.3
964,13540.0,16425.57
965,14845.0,20369.41
966,10847.0,5185.99
967,10736.0,10022.38
968,15016.0,32672.07
969,11092.0,8189.96
970,9806.0,6565.53
971,11103.0,13155.47
972,10537.0,4972.35
973,10907.0,5747.68
974,13667.0,18727.38
975,10627.0,6282.43
976,10306.0,5077.85
977,11964.0,11444.61
978,11164.0,6469.32
979,12420.0,16230.93
980,11248.0,6179.57
