Time (sec), Avg. Response Time (us), Standard deviation (us)
357,2907.0,3278.49
358,2966.0,3352.41
359,2921.0,3168.29
360,3063.0,3037.28
361,2977.0,3104.26
362,3187.0,3151.9
363,2876.0,3166.28
364,2954.0,3173.72
365,2860.0,3145.85
366,2871.0,3281.78
367,2819.0,3174.08
368,2891.0,3211.63
369,3024.0,3384.48
370,2970.0,3262.92
371,2957.0,3387.95
372,3033.0,3217.82
373,2984.0,3110.96
374,3014.0,3184.81
375,2876.0,3216.65
376,2964.0,3130.7
377,3038.0,3246.21
378,2876.0,3283.16
379,3013.0,3249.65
380,3051.0,3249.28
381,2902.0,3531.85
382,2930.0,3231.27
383,2934.0,3141.91
384,2847.0,3380.52
385,2932.0,3945.38
386,2918.0,3278.88
387,2940.0,3124.22
388,2972.0,3186.45
389,3086.0,3143.65
390,2907.0,3170.77
391,3027.0,3213.05
392,3325.0,3245.06
393,2962.0,3279.01
394,2953.0,3282.21
395,2858.0,3551.85
396,2900.0,3215.89
397,2924.0,3195.72
398,2893.0,3123.27
399,2927.0,3266.62
400,2915.0,3108.53
401,2970.0,3282.43
402,2978.0,3154.25
403,2998.0,3133.82
404,2909.0,3099.52
405,2942.0,3121.04
406,2874.0,3130.7
407,2851.0,5543.63
408,2982.0,11048.71
409,3001.0,3372.98
410,2917.0,3136.35
411,2893.0,3127.37
412,2986.0,3547.43
413,2879.0,3138.65
414,2897.0,3141.88
415,2976.0,3098.79
416,3008.0,3130.19
417,2977.0,3141.67
418,3000.0,3125.91
419,3100.0,3137.23
420,2990.0,3022.1
421,2984.0,3159.73
422,2864.0,3214.95
423,3061.0,3059.82
424,3061.0,3169.05
425,2889.0,3167.75
426,2825.0,3424.48
427,2902.0,3157.23
428,2796.0,3264.04
429,2879.0,3073.62
430,2872.0,5589.74
431,2925.0,3086.14
432,3111.0,3214.23
433,2894.0,3108.62
434,3066.0,3079.38
435,2966.0,3204.88
436,2901.0,3221.32
437,2857.0,4683.32
438,2896.0,3025.97
439,2955.0,3191.6
440,3043.0,3099.78
441,2796.0,3090.8
442,2847.0,3105.23
443,2947.0,3104.42
444,3302.0,2987.62
445,2878.0,3376.21
446,2896.0,4015.54
447,2782.0,3209.07
448,2969.0,3096.35
449,2767.0,3031.58
450,2876.0,3076.27
451,2788.0,3171.5
452,2899.0,6234.6
453,2838.0,3281.62
454,2875.0,6453.46
455,2935.0,3137.68
456,2856.0,3042.16
457,2964.0,3704.91
458,2914.0,3103.58
459,2909.0,3846.9
460,3017.0,4611.82
461,2927.0,3298.05
462,2933.0,3063.68
463,2859.0,3389.89
464,3098.0,3112.38
465,2838.0,3782.19
466,2957.0,3161.8
467,2786.0,3190.71
468,2847.0,3196.64
469,2872.0,3289.17
470,2954.0,3197.02
471,2820.0,3202.46
472,2804.0,3329.18
473,2935.0,3306.46
474,2852.0,3112.99
475,3059.0,3160.28
476,3024.0,6748.51
477,2910.0,3080.58
478,2986.0,3088.38
479,2992.0,3160.77
480,2929.0,3978.4
481,2918.0,6264.51
482,2948.0,3187.95
483,2792.0,3099.09
484,2827.0,3092.57
485,3031.0,3193.05
486,2867.0,3280.03
487,2918.0,3123.84
488,2936.0,3077.8
489,3082.0,3118.46
490,3080.0,3101.45
491,3024.0,3405.09
492,3051.0,3137.37
493,3117.0,3255.24
494,3103.0,3301.68
495,3028.0,3222.14
496,3168.0,3092.1
497,2911.0,3311.65
498,3955.0,3038.45
499,3060.0,3119.75
500,3044.0,5481.55
501,2803.0,3108.14
502,2934.0,13639.41
503,2833.0,3141.28
504,2921.0,3127.45
505,2878.0,3224.09
506,3038.0,3097.92
507,2931.0,3346.37
508,3333.0,2999.33
509,2936.0,3424.57
510,2944.0,3126.86
511,2938.0,3383.57
512,2924.0,3208.58
513,2908.0,3115.23
514,3632.0,3302.87
515,2953.0,3169.89
516,2913.0,3333.86
517,2897.0,3181.86
518,2982.0,3075.18
519,3077.0,3053.6
520,2836.0,3143.69
521,2917.0,3074.5
522,2921.0,3113.63
523,2978.0,3079.98
524,2959.0,3175.35
525,2888.0,3195.72
526,2881.0,3190.24
527,2782.0,3094.83
528,2940.0,4479.07
529,2917.0,5196.83
530,3016.0,3296.67
531,2842.0,3211.06
532,2876.0,3135.42
533,2932.0,3220.37
534,2891.0,3614.24
535,2996.0,3341.48
536,2808.0,3244.89
537,2927.0,3366.08
538,3015.0,3137.69
539,3143.0,6266.33
540,3169.0,3127.67
541,2918.0,3061.26
542,2864.0,3020.39
543,2972.0,3084.83
544,2993.0,3126.18
545,3112.0,3108.31
546,2957.0,3079.16
547,2985.0,3850.22
548,2937.0,3079.76
549,2942.0,3106.66
550,2946.0,3300.79
551,2995.0,3043.04
552,2935.0,3104.21
553,2993.0,3021.14
554,2915.0,3274.81
