Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
346,11895.0,15374.23
347,12611.0,16644.8
348,11802.0,12083.66
349,12161.0,13613.89
350,11824.0,9968.95
351,11674.0,10977.49
352,13006.0,18384.2
353,12250.0,12237.82
354,11609.0,13615.57
355,11852.0,15155.22
356,12252.0,16183.38
357,11974.0,15249.28
358,11426.0,9003.67
359,11747.0,10099.29
360,11138.0,15010.36
