Time (10 x sec), Avg. Response Time (us)
246,12238.333333333334
247,12426.0
248,11311.0
249,12160.333333333334
250,13030.0
251,12143.666666666666
252,11505.0
253,12391.333333333334
254,11361.666666666666
255,12791.0
256,12329.0
257,12286.666666666666
258,12718.666666666666
259,12020.666666666666
260,12589.333333333334
261,10878.666666666666
262,11173.333333333334
263,11762.333333333334
264,11209.333333333334
265,12333.0
266,11580.333333333334
267,12064.0
268,12600.666666666666
269,12111.0
270,12842.666666666666
271,11903.0
272,12473.333333333334
273,13105.333333333334
274,12109.0
275,11484.333333333334
276,12444.333333333334
277,11583.666666666666
278,11332.666666666666
279,11064.0
280,12491.666666666666
281,12095.0
282,11719.666666666666
283,12180.0
284,11708.0
285,11428.666666666666
286,11909.333333333334
287,11828.333333333334
288,11173.333333333334
289,12694.333333333334
290,12298.0
291,11902.0
292,11570.0
293,11571.666666666666
294,11299.0
295,11649.333333333334
296,12563.0
297,12738.333333333334
298,12550.0
299,12775.666666666666
300,12050.0
301,11360.666666666666
302,11757.666666666666
303,12932.333333333334
304,11798.333333333334
305,11711.0
306,12225.0
307,12445.0
308,12045.0
309,11778.0
310,12229.0
311,12616.333333333334
312,11947.333333333334
313,11619.333333333334
314,12205.666666666666
315,11653.333333333334
316,11809.333333333334
317,12086.0
318,11574.666666666666
319,12511.666666666666
320,12880.333333333334
321,12815.0
322,12402.0
323,12451.333333333334
324,12678.333333333334
325,12478.333333333334
326,12622.666666666666
327,12096.666666666666
328,12614.333333333334
329,12801.666666666666
330,11435.0
331,12488.0
332,11463.666666666666
333,12165.0
334,12264.666666666666
335,13083.333333333334
336,13063.0
337,12043.0
338,12149.333333333334
339,12240.333333333334
340,11882.666666666666
341,12235.0
342,11861.0
343,12440.666666666666
344,13273.666666666666
345,12563.0
346,12263.0
347,12188.666666666666
348,11810.666666666666
349,12180.333333333334
350,11984.0
351,12043.333333333334
352,12536.666666666666
353,12308.0
354,11629.666666666666
355,11778.333333333334
356,12276.0
357,11956.0
358,11589.333333333334
359,11463.333333333334
360,11469.666666666666
