Time (sec), Avg. Response Time (us), Standard deviation (us)
362,6662.0,1864.89
363,6692.0,2575.89
364,6639.0,995.77
365,6608.0,905.33
366,6626.0,875.75
367,6651.0,1661.03
368,6735.0,1934.43
369,6706.0,853.52
370,6634.0,1141.33
371,6703.0,1744.26
372,6699.0,945.56
373,6660.0,931.26
374,6650.0,995.12
375,6643.0,2355.81
376,6661.0,1852.62
377,6654.0,2466.03
378,6651.0,1955.47
379,6774.0,2615.18
380,6670.0,933.95
381,6821.0,1674.25
382,6581.0,903.91
383,6707.0,910.13
384,6657.0,893.81
385,6643.0,924.03
386,6645.0,2184.91
387,6628.0,2270.41
388,6597.0,2374.75
389,6680.0,1261.31
390,6597.0,1380.56
391,6686.0,2421.82
392,6792.0,2597.08
393,6662.0,2264.03
394,6604.0,1221.59
395,6549.0,862.47
396,6594.0,1774.96
397,6586.0,882.46
398,6501.0,875.5
399,6539.0,897.07
400,6627.0,887.53
401,6767.0,1685.31
402,6859.0,1906.53
403,6588.0,844.67
404,6621.0,905.5
405,6595.0,895.19
406,6703.0,1166.87
407,6619.0,863.28
408,6727.0,1787.71
409,6620.0,1009.2
410,6633.0,1361.63
411,6671.0,1994.93
412,6804.0,1963.23
413,6698.0,2203.09
414,6639.0,1759.88
415,6624.0,2526.03
416,6669.0,2473.45
417,6619.0,2377.98
418,6735.0,2501.85
419,6860.0,1966.17
420,6508.0,1386.04
421,6500.0,856.26
422,6497.0,857.35
423,6508.0,876.28
424,6389.0,804.66
425,6435.0,745.51
426,6437.0,844.4
427,6620.0,1347.76
428,6477.0,952.43
429,6759.0,2179.25
430,6683.0,1526.87
431,6526.0,947.78
432,6674.0,1611.95
433,6407.0,800.1
434,6492.0,1375.69
435,6502.0,1279.38
436,6499.0,879.75
437,6580.0,1248.63
438,6510.0,1176.32
439,6491.0,1064.02
440,6550.0,1288.06
441,6530.0,1430.18
442,6592.0,1862.84
443,6470.0,824.25
444,6504.0,868.54
445,6710.0,1978.76
446,6800.0,2412.81
447,6642.0,1849.08
448,6599.0,1604.34
449,6756.0,2193.75
450,6891.0,2218.0
451,6499.0,915.01
452,6517.0,864.35
453,6477.0,831.87
454,6714.0,2026.84
455,6872.0,2410.97
456,6917.0,2442.9
457,6763.0,1905.26
458,6887.0,2482.59
459,6673.0,1674.56
460,6480.0,939.22
461,6663.0,1648.95
462,6559.0,899.15
463,6473.0,768.05
464,6490.0,1018.69
465,6545.0,1292.47
466,6442.0,907.99
467,6636.0,1442.06
468,6681.0,1675.25
469,6485.0,833.96
470,6515.0,877.89
471,6558.0,821.69
472,6560.0,1020.63
473,6595.0,1568.72
474,6473.0,823.22
475,6673.0,1561.31
476,6581.0,1147.19
477,6540.0,857.35
478,6642.0,1642.68
479,6765.0,2310.99
480,6897.0,2486.17
481,6665.0,1501.84
482,6665.0,1139.71
483,6649.0,1774.65
484,6688.0,2585.64
485,6641.0,2473.4
486,6688.0,2104.38
487,6943.0,1714.1
488,6610.0,830.12
489,6735.0,2090.47
490,6686.0,1985.29
491,6854.0,2070.95
492,6699.0,1946.09
493,6683.0,2458.16
494,6665.0,2429.32
495,6692.0,1331.84
496,6620.0,889.02
497,6596.0,852.12
498,6587.0,1260.19
499,6509.0,1623.9
500,6587.0,839.08
501,6572.0,814.78
502,6532.0,832.84
503,6730.0,1833.21
504,6842.0,2367.57
505,6595.0,1409.12
506,6819.0,2371.57
507,6706.0,1472.14
508,6478.0,781.41
509,6447.0,834.31
510,6437.0,792.7
511,6703.0,2068.01
512,6639.0,1852.56
513,6446.0,873.3
514,6451.0,812.66
515,6493.0,813.94
516,6585.0,1523.08
517,6818.0,1924.47
518,6904.0,2502.76
519,6926.0,2468.47
520,7071.0,2577.62
521,6740.0,1758.91
522,6764.0,1873.12
523,6470.0,838.42
524,6475.0,783.73
525,6660.0,1656.55
526,6524.0,1081.0
527,6519.0,964.05
528,6473.0,813.64
529,6655.0,1727.84
530,6871.0,2223.9
531,6546.0,948.95
532,6606.0,1223.78
533,6504.0,846.13
534,6492.0,981.49
535,6473.0,785.99
536,6569.0,1460.7
537,6747.0,1589.49
538,6434.0,816.27
539,6708.0,1951.93
540,6532.0,957.65
541,6570.0,1779.75
542,6611.0,1053.8
543,6519.0,840.92
544,6611.0,1743.54
