Time (sec), Avg. Response Time (us), Standard deviation (us)
105,6720.666666666667,1588.1899999999998
106,6681.0,996.2066666666666
107,6657.666666666667,1100.8066666666666
108,6648.333333333333,1123.8433333333332
109,6622.666666666667,1134.9266666666665
110,6615.333333333333,859.1833333333334
111,6621.666666666667,849.7233333333334
112,6631.0,828.6866666666666
113,6671.666666666667,1047.1633333333332
114,6657.0,1048.1133333333335
115,6644.333333333333,1078.23
116,6619.666666666667,1323.1166666666666
117,6640.333333333333,1312.1466666666668
118,6699.333333333333,1414.6033333333335
119,6680.666666666667,975.8366666666667
120,6667.666666666667,851.0099999999999
121,6689.333333333333,861.2199999999999
122,6692.0,856.6166666666667
123,6702.333333333333,868.5366666666667
124,6692.666666666667,877.3166666666666
125,6675.0,891.0033333333332
126,6691.666666666667,868.32
127,6655.666666666667,1317.6733333333334
128,6703.666666666667,1771.68
129,6671.333333333333,2395.4566666666665
130,6730.333333333333,2218.93
131,6672.333333333333,1822.3999999999999
132,6677.666666666667,1460.4766666666667
133,6714.333333333333,1639.323333333333
134,6708.666666666667,2159.25
135,6734.333333333333,2561.07
136,6685.666666666667,2041.03
137,6687.0,1827.0033333333333
138,6758.333333333333,1538.1633333333332
139,6769.333333333333,1428.4399999999998
140,6753.0,1036.82
141,6690.666666666667,845.73
142,6703.0,986.39
143,6661.666666666667,1485.7766666666666
144,6658.666666666667,2037.7833333333335
145,6653.333333333333,2364.2966666666666
146,6681.666666666667,1884.2300000000002
147,6725.333333333333,1343.3733333333332
148,6682.0,834.84
149,6667.333333333333,1129.5133333333333
150,6630.333333333333,1634.6533333333334
151,6629.666666666667,1789.2233333333334
152,6717.666666666667,1880.1899999999998
153,6696.666666666667,1758.7233333333334
154,6706.333333333333,1652.9166666666667
155,6730.0,1703.7666666666667
156,6719.666666666667,1157.92
157,6704.333333333333,1008.7033333333334
158,6690.0,1044.4266666666665
159,6650.0,1619.3733333333332
160,6643.0,1932.6666666666667
161,6687.666666666667,1775.4366666666665
162,6770.333333333333,1636.0466666666664
163,6707.333333333333,1649.28
164,6769.666666666667,2272.3933333333334
165,6730.0,2415.7633333333333
166,6796.333333333333,2115.2000000000003
167,6818.0,2043.6499999999996
168,6783.666666666667,1879.0133333333333
169,6775.0,2122.14
170,6654.666666666667,2085.3399999999997
171,6656.666666666667,1721.55
172,6676.333333333333,1896.3166666666664
173,6712.333333333333,1355.2066666666667
174,6782.666666666667,1873.0533333333333
175,6823.0,2038.083333333333
176,6730.333333333333,2311.9466666666667
177,6721.0,2585.9266666666667
178,6749.0,2524.2333333333336
179,6744.666666666667,2257.4666666666667
180,6787.333333333333,2038.9766666666665
181,6756.333333333333,1933.573333333333
182,6773.333333333333,2068.3133333333335
183,6701.0,1647.58
184,6684.0,1410.2833333333335
185,6608.333333333333,959.7666666666668
186,6599.0,981.3333333333331
