Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
312,11848.0,16143.08
313,11674.0,12193.75
314,12230.0,14111.59
315,11295.0,11625.08
316,11775.0,11777.78
317,12078.0,14542.76
318,11832.0,13525.55
319,12142.0,14542.86
320,12987.0,20561.36
321,12790.0,16223.29
322,12168.0,15474.2
323,12787.0,17611.19
324,12156.0,14374.59
325,13016.0,23358.11
326,11948.0,13168.27
327,12367.0,17015.32
328,12278.0,17462.93
329,12886.0,21319.11
330,11468.0,13234.4
331,12408.0,23433.39
332,11133.0,10711.97
333,12208.0,14707.19
334,12277.0,17819.15
335,13188.0,25363.2
336,12862.0,18319.01
337,11765.0,12572.7
338,12361.0,19221.31
339,12058.0,14992.79
340,11643.0,12686.92
341,12586.0,18838.22
342,11500.0,10512.53
343,12646.0,16321.81
344,13202.0,20404.69
345,12348.0,17881.64
346,12069.0,15087.74
347,12043.0,11925.13
348,11756.0,13131.48
349,12124.0,12457.03
350,12046.0,10639.25
351,12185.0,14686.24
352,12207.0,14889.21
353,12308.0,14104.53
354,11560.0,13560.34
355,11744.0,12901.46
356,12256.0,16188.01
357,11780.0,14944.84
358,11723.0,9481.52
359,11226.0,10467.66
360,11802.0,18378.01
