Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 2119600, 28200, 2079500, 1253115715422, 1253115719222, 1253115747422, 1253115748822, 1253117828322, 1253117835022, true, 47
get, 3658900, 2192100, 1441400, 1253118408522, 1253118423322, 1253120615422, 1253120616922, 1253122058322, 1253122067422, true, 47
get, 3164500, 1334200, 1528200, 1253124669422, 1253124964322, 1253126298522, 1253126299922, 1253127828122, 1253127833922, true, 47
get, 7738300, 5029400, 2687800, 1253127855322, 1253127859922, 1253132889322, 1253132899722, 1253135587522, 1253135593622, true, 47
set, 8141100, 5100, 8048800, 1253134220722, 1253134230622, 1253134235722, 1253134236722, 1253142285522, 1253142361822, true, 0
get, 9687800, 7527600, 2148200, 1253134688922, 1253134692622, 1253142220222, 1253142221922, 1253144370122, 1253144376722, true, 47
get, 5947700, 3203600, 2731500, 1253142890122, 1253142894022, 1253146097622, 1253146098922, 1253148830422, 1253148837822, true, 46
get, 3050300, 2019500, 1001400, 1253151258722, 1253151268122, 1253153287622, 1253153288822, 1253154290222, 1253154309022, true, 47
get, 5085200, 3432600, 1639400, 1253152599822, 1253152603522, 1253156036122, 1253156037422, 1253157676822, 1253157685022, true, 32
get, 3961700, 2844300, 1104300, 1253160616922, 1253160620722, 1253163465022, 1253163467722, 1253164572022, 1253164578622, true, 29
get, 10651900, 8785900, 1854600, 1253161592122, 1253161595822, 1253170381722, 1253170383022, 1253172237622, 1253172244022, true, 27
get, 12088600, 10664400, 1409600, 1253171515222, 1253171519022, 1253182183422, 1253182184722, 1253183594322, 1253183603822, true, 47
get, 4828300, 3385500, 1432900, 1253184250222, 1253184252822, 1253187638322, 1253187639722, 1253189072622, 1253189078522, true, 47
get, 10640400, 5008600, 5620800, 1253178858922, 1253178861622, 1253183870222, 1253183871622, 1253189492422, 1253189499322, true, 47
get, 8030700, 31500, 1663800, 1253189393722, 1253195720022, 1253195751522, 1253195753222, 1253197417022, 1253197424422, true, 47
get, 3790200, 2547800, 1233000, 1253196808522, 1253196810522, 1253199358322, 1253199359522, 1253200592522, 1253200598722, true, 47
set, 3695300, 3300, 3019200, 1253196564322, 1253196566522, 1253196569822, 1253196570722, 1253199589922, 1253200259622, true, 0
get, 10895700, 3598900, 7279500, 1253201100822, 1253201102722, 1253204701622, 1253204702922, 1253211982422, 1253211996522, true, 47
get, 5281500, 3734500, 1535100, 1253211958322, 1253211962622, 1253215697122, 1253215698322, 1253217233422, 1253217239822, true, 47
get, 17014800, 7930600, 9037300, 1253215794422, 1253215795822, 1253223726422, 1253223727522, 1253232764822, 1253232809222, true, 39
get, 315100, 16600, 289500, 1253242750322, 1253242752022, 1253242768622, 1253242770022, 1253243059522, 1253243065422, true, 8
get, 9665700, 8622800, 1033400, 1253245481122, 1253245482522, 1253254105322, 1253254106622, 1253255140022, 1253255146822, true, 23
get, 1491800, 225500, 1250600, 1253264049922, 1253264051222, 1253264276722, 1253264277722, 1253265528322, 1253265541722, true, 18
get, 1051000, 9600, 1033000, 1253272676822, 1253272678422, 1253272688022, 1253272689222, 1253273722222, 1253273727822, true, 43
set, 14335400, 5315800, 8966700, 1253273306422, 1253273307722, 1253278623522, 1253278624422, 1253287591122, 1253287641822, true, 0
get, 13844700, 13392900, 443000, 1253281422222, 1253281423522, 1253294816422, 1253294817522, 1253295260522, 1253295266922, true, 19
get, 2714800, 2005300, 698000, 1253299193722, 1253299195922, 1253301201222, 1253301202422, 1253301900422, 1253301908522, true, 5
