Time (sec), TPS(ops/sec)
1264,10814.0
1265,18090.0
1266,15970.0
1267,17144.0
1268,16716.0
1269,14419.0
1270,15984.0
1271,15499.0
1272,16140.0
1273,15445.0
1274,16395.0
1275,14617.0
1276,14113.0
1277,17087.0
1278,15039.0
1279,14972.0
1280,14909.0
1281,14741.0
1282,16521.0
1283,16719.0
1284,15362.0
1285,17504.0
1286,17475.0
1287,15482.0
1288,17621.0
1289,16041.0
1290,15817.0
1291,16587.0
1292,17192.0
1293,16702.0
1294,14425.0
1295,16440.0
1296,16094.0
1297,14623.0
1298,15401.0
1299,16917.0
1300,16953.0
1301,17020.0
1302,17425.0
1303,16997.0
1304,16941.0
1305,14801.0
1306,16087.0
1307,16271.0
1308,13680.0
1309,15368.0
1310,15585.0
1311,16747.0
1312,16713.0
1313,15018.0
1314,16012.0
1315,16987.0
1316,15371.0
1317,16013.0
1318,16305.0
1319,15891.0
1320,14999.0
1321,17161.0
1322,15510.0
1323,17430.0
1324,16223.0
1325,15299.0
1326,16690.0
1327,17505.0
1328,15726.0
1329,16434.0
1330,15917.0
1331,16992.0
1332,15994.0
1333,15978.0
1334,16530.0
1335,15689.0
1336,14761.0
1337,13927.0
1338,16479.0
1339,13837.0
1340,16376.0
1341,16763.0
1342,16576.0
1343,16323.0
1344,15923.0
1345,15992.0
1346,14972.0
1347,16823.0
1348,16644.0
1349,15655.0
1350,16198.0
1351,16749.0
1352,18018.0
1353,15567.0
1354,18855.0
1355,18269.0
1356,16646.0
1357,16799.0
1358,17233.0
1359,16879.0
1360,16024.0
1361,16850.0
1362,16777.0
1363,16401.0
1364,15676.0
1365,17170.0
1366,15487.0
1367,16397.0
1368,17332.0
1369,16934.0
1370,16663.0
1371,16521.0
1372,15182.0
1373,17592.0
1374,15010.0
1375,16246.0
1376,16357.0
1377,14056.0
1378,17358.0
1379,15795.0
1380,17619.0
1381,16294.0
1382,16355.0
1383,16308.0
1384,14386.0
1385,15351.0
1386,15463.0
1387,14286.0
1388,16406.0
1389,15523.0
1390,15346.0
1391,17108.0
1392,13439.0
1393,15674.0
1394,16785.0
1395,12000.0
1396,16138.0
1397,16268.0
1398,16112.0
1399,15560.0
1400,16832.0
1401,15366.0
1402,14949.0
1403,16031.0
1404,15728.0
1405,15404.0
1406,15735.0
1407,15310.0
1408,15742.0
1409,16097.0
1410,14932.0
1411,16294.0
1412,15581.0
1413,15860.0
1414,15701.0
1415,15846.0
1416,16589.0
1417,14467.0
1418,15483.0
1419,15561.0
1420,16776.0
1421,15137.0
1422,12615.0
1423,16438.0
1424,16477.0
1425,13371.0
1426,17371.0
1427,16994.0
1428,16958.0
1429,16276.0
1430,15904.0
1431,16427.0
1432,15587.0
1433,14142.0
1434,15718.0
1435,15308.0
1436,16791.0
1437,15687.0
1438,14949.0
1439,16599.0
1440,15780.0
1441,15458.0
1442,16072.0
1443,16007.0
1444,15471.0
1445,16494.0
1446,14441.0
1447,16511.0
1448,16586.0
1449,16255.0
1450,14984.0
1451,16328.0
1452,15074.0
1453,17801.0
1454,15618.0
1455,15474.0
1456,16279.0
1457,17094.0
1458,16168.0
1459,15237.0
1460,15344.0
1461,15740.0
1462,16480.0
1463,15512.0
1464,16861.0
1465,16666.0
1466,16635.0
1467,15701.0
1468,16861.0
1469,16976.0
1470,15111.0
1471,16917.0
1472,17990.0
1473,15454.0
1474,17364.0
1475,16675.0
1476,17449.0
1477,15602.0
1478,15666.0
1479,17450.0
1480,15555.0
1481,17278.0
1482,15201.0
1483,16786.0
1484,15381.0
1485,14491.0
1486,15101.0
1487,16795.0
1488,17474.0
1489,15052.0
1490,17663.0
1491,14868.0
1492,14934.0
1493,16509.0
1494,14280.0
1495,16310.0
1496,16096.0
1497,14063.0
1498,16121.0
1499,16289.0
1500,15495.0
1501,15750.0
1502,16381.0
1503,15831.0
1504,16485.0
1505,15971.0
1506,15353.0
1507,17441.0
1508,13949.0
1509,16693.0
1510,17043.0
1511,13646.0
1512,16366.0
1513,17353.0
1514,16949.0
1515,17478.0
1516,16901.0
1517,18003.0
1518,16127.0
1519,16379.0
1520,15859.0
1521,15995.0
1522,15439.0
1523,15898.0
1524,15540.0
1525,16611.0
1526,15375.0
1527,16907.0
1528,16771.0
1529,15274.0
1530,15840.0
1531,14952.0
1532,12874.0
1533,15456.0
1534,14289.0
1535,15865.0
1536,15864.0
