Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 2031700, 1580600, 443000, 1391062531422, 1391062532722, 1391064113322, 1391064114422, 1391064557422, 1391064563122, true, 36
get, 5146500, 4074000, 1060200, 1391064669322, 1391064670722, 1391068744722, 1391068745722, 1391069805922, 1391069815822, true, 47
get, 5521100, 2008600, 3503200, 1391067606222, 1391067608222, 1391069616822, 1391069617822, 1391073121022, 1391073127322, true, 47
set, 4334600, 2189300, 2089500, 1391062668722, 1391062670122, 1391064859422, 1391064860422, 1391066949922, 1391067003322, true, 0
get, 8546900, 2771100, 5767200, 1391073741422, 1391073742822, 1391076513922, 1391076514922, 1391082282122, 1391082288322, true, 25
get, 1693200, 672900, 1012200, 1391084303422, 1391084304722, 1391084977622, 1391084978722, 1391085990922, 1391085996622, true, 31
get, 6717600, 5915600, 794300, 1391084901522, 1391084902822, 1391090818422, 1391090819422, 1391091613722, 1391091619122, true, 47
get, 11222300, 10636200, 577800, 1391088478522, 1391088479922, 1391099116122, 1391099117222, 1391099695022, 1391099700822, true, 47
get, 1694600, 728500, 958300, 1391103988122, 1391103989422, 1391104717922, 1391104719022, 1391105677322, 1391105682722, true, 47
get, 8012600, 1552900, 6452500, 1391099472122, 1391099473422, 1391101026322, 1391101027522, 1391107480022, 1391107484722, true, 47
get, 7056400, 3953300, 3094800, 1391104728722, 1391104730022, 1391108683322, 1391108684322, 1391111779122, 1391111785122, true, 46
set, 3776500, 619800, 3118100, 1391112063522, 1391112066022, 1391112685822, 1391112686922, 1391115805022, 1391115840022, true, 0
get, 9089700, 457000, 8583600, 1391113345422, 1391113371122, 1391113828122, 1391113829222, 1391122412822, 1391122435122, true, 29
get, 12782600, 4053000, 8719000, 1391124323122, 1391124324222, 1391128377222, 1391128378422, 1391137097422, 1391137105722, true, 38
get, 1254400, 31900, 1206000, 1391137994822, 1391137996822, 1391138028722, 1391138030322, 1391139236322, 1391139249222, true, 44
get, 6509400, 4471100, 2029100, 1391139193722, 1391139194822, 1391143665922, 1391143666922, 1391145696022, 1391145703122, true, 47
get, 18455000, 5640600, 12804600, 1391143698622, 1391143699822, 1391149340422, 1391149341822, 1391162146422, 1391162153622, true, 41
get, 1073200, 352500, 708100, 1391162229022, 1391162230122, 1391162582622, 1391162583722, 1391163291822, 1391163302222, true, 47
get, 4373000, 4021000, 343600, 1391163028422, 1391163029522, 1391167050522, 1391167051722, 1391167395322, 1391167401422, true, 38
get, 7966700, 1223400, 6726300, 1391168687522, 1391168688622, 1391169912022, 1391169913322, 1391176639622, 1391176654222, true, 46
